Date/Time,Latitude,Longitude,Hail size,Damage total,Insurance payout,Number of deaths,Number of injuries,
2003-10-18 05:30:00,-34.2230,150.5930,4.4,0,0,0,0,
2003-10-20 07:40:00,-28.9480,153.4680,3.0,0,0,0,0,
2003-10-24 06:50:00,-28.9060,152.7220,7.5,0,0,0,0,
2003-10-25 00:00:00,-33.5150,151.3350,1.2,0,0,0,0,
2003-10-25 03:00:00,-31.9990,149.4850,3.0,0,0,0,0,
2003-10-25 03:00:00,-33.6990,150.5350,4.0,0,0,0,0,
2003-10-25 03:00:00,-33.6970,150.5680,2.5,0,0,0,0,
2003-10-25 03:10:00,-31.9990,151.9680,3.0,0,0,0,0,
2003-10-25 03:15:00,-33.7090,150.5850,4.4,0,0,0,0,
2003-10-25 03:40:00,-33.7490,150.7510,3.0,0,0,0,0,
2003-10-25 03:45:00,-33.7150,150.7510,6.3,0,0,0,0,
2003-10-25 04:00:00,-33.6570,150.8100,6.0,0,0,0,0,
2003-10-25 04:00:00,-33.6990,150.5350,3.5,0,0,0,0,
2003-10-25 04:15:00,-33.7150,150.7510,4.0,0,0,0,0,
2003-10-25 04:27:00,-33.7290,150.9540,3.2,0,0,0,0,
2003-10-25 04:30:00,-32.7400,151.6430,5.0,0,0,0,0,
2003-10-25 04:30:00,-33.6820,150.8680,0.0,0,0,0,0,
2003-10-25 04:35:00,-33.6600,150.9350,4.4,0,0,0,0,
2003-10-25 04:45:00,-33.6870,150.9900,2.0,0,0,0,0,
2003-10-25 05:00:00,-33.7070,151.1180,3.0,0,0,0,0,
2003-10-25 05:30:00,-33.6070,151.1430,3.8,0,0,0,0,
2003-10-25 05:30:00,-33.4900,150.9430,4.4,0,0,0,0,
2003-10-25 06:15:00,-28.9060,152.7220,5.0,0,0,0,0,
2003-10-25 06:20:00,-30.3150,153.1180,2.5,0,0,0,0,
2003-10-25 13:25:00,-33.6820,150.6010,3.5,0,0,0,0,
2003-10-26 04:00:00,-28.6250,153.0120,8.0,0,0,0,0,
2003-10-26 04:05:00,-29.6320,153.0350,4.4,0,0,0,0,
2003-10-26 04:25:00,-29.5320,153.1850,10.0,0,0,0,0,
2003-10-26 04:30:00,-29.5150,153.1350,7.5,0,0,0,0,
2003-11-02 02:30:00,-34.5900,150.7430,2.0,0,0,0,0,
2003-11-10 02:45:00,-33.6990,149.8680,2.5,0,0,0,0,
2003-11-16 02:45:00,-35.3600,149.2300,3.5,0,0,0,0,
2003-11-21 00:15:00,-34.7490,146.5510,2.0,0,0,0,0,
2003-11-21 00:30:00,-34.5490,146.4010,1.0,0,0,0,0,
2003-12-11 18:55:00,-35.2150,148.0350,3.0,0,0,0,0,
2003-12-12 04:57:00,-32.2490,148.6010,7.0,0,0,0,0,
2003-12-12 07:51:00,-30.9320,148.3680,4.4,0,0,0,0,
2003-12-27 08:45:00,-29.9320,151.0350,1.0,0,0,0,0,
2004-01-07 05:15:00,-31.9820,151.5850,1.3,0,0,0,0,
2004-01-21 04:20:00,-36.0650,146.9010,2.0,0,0,0,0,
2004-01-21 08:55:00,-35.7150,150.1850,0.5,0,0,0,0,
2004-01-23 05:00:00,-32.2490,148.6010,2.0,0,0,0,0,
2004-01-23 06:00:00,-29.7820,151.1180,2.5,0,0,0,0,
2004-01-23 10:30:00,-28.6840,153.0020,0.0,0,0,0,0,
2004-01-24 03:10:00,-31.9990,151.9680,2.4,0,0,0,0,
2004-01-24 03:10:00,-32.6650,151.6010,4.0,0,0,0,0,
2004-01-24 04:00:00,-34.5900,150.5930,3.0,0,0,0,0,
2004-01-24 05:00:00,-34.5820,150.8760,2.0,0,0,0,0,
2004-01-24 06:05:00,-32.7650,151.7350,3.5,0,0,0,0,
2004-01-24 07:00:00,-29.7820,151.1180,3.0,0,0,0,0,
2004-01-24 07:10:00,-30.4320,152.6680,4.4,0,0,0,0,
2004-01-25 01:10:00,-33.4880,151.3100,2.0,0,0,0,0,
2004-01-25 01:45:00,-31.2650,150.7350,5.0,0,0,0,0,
2004-01-25 02:45:00,-31.2650,150.7350,5.0,0,0,0,0,
2004-01-25 05:00:00,-31.5650,149.9850,6.3,0,0,0,0,
2004-01-25 06:40:00,-29.7820,151.1180,6.3,0,0,0,0,
2004-01-26 11:30:00,-31.9990,151.9680,4.4,0,0,0,0,
2004-01-27 02:00:00,-34.4820,150.4180,2.0,0,0,0,0,
2004-01-27 02:45:00,-34.7150,150.1510,0.0,0,0,0,0,
2004-01-27 07:20:00,-32.5650,151.1680,7.0,0,0,0,0,
